Compounds.ID	B1	B2	B3	B4	B5	BD1	BD2	BD3	BD4	BD5	BF1	BF2	BF3	BF4	BF5	BFD1	BFD2	BFD3	BFD4	BFD5	BFK1	BFK2	BFK3	BFK4	BFK5	BK1	BK2	BK3	BK4	BK5	D1	D2	D3	D4	D5	F1	F2	F3	F4	F5	FD1	FD2	FD3	FD4	FD5	FK1	FK2	FK3	FK4	FK5	K1	K2	K3	K4	K5	M1	M2	M3	M4	M5	QC1	QC10	QC11	QC12	QC13	QC2	QC3	QC4	QC5	QC6	QC7	QC8	QC9
c3536	45895.8	46061.88	43261.76	40646.24	48176.37	6899765	5166159	1814075	3832782	3198441	41578.36	44886.91	50022.91	41336	45303.99	7059579	5074365	2588292	3955833	4403284	3807525	1336821	3140951	2084252	2640274	3608342	3642481	2822600	2661592	2427271	4982692	6760723	4258009	3026476	4984468	45075.16	44208.8	42131.33	44851.47	46998.92	4169949	5495889	5264019	3782779	3786484	3394124	5238353	3281699	3783138	3513957	4012897	4625657	4064464	4098174	4054205	37315.19	34732.75	36885.66	34510.24	34616.71	3249848	3480311	3451390	3585053	3033573	3355252	3451879	3442817	3481202	3401682	3416800	3444211	3323568
c3537	11863233	11553969	12487531	18000795	11020893	10347838	12779690	12081758	11455892	12136674	12480368	13833100	6514003	10063667	9661054	10533532	9017577	9353643	12125292	10429992	11160826	10692842	15629458	12403689	10206134	10825987	9909521	12447436	11207847	9469359	12533062	17677659	14182152	14152899	13950617	6557571	6611491	3091912	6981950	7391868	12008564	12161744	11329205	14008459	12529451	13325657	6864080	933671.3	13005081	18952816	13669141	13609477	15098076	14772551	16241750	13661303	14151420	12335327	19493956	1700739	17183327	18211902	17393078	15939122	16602977	17149707	16893824	15924317	17140549	17033306	17264682	17400797	16414125
c3538	10773754	9746460	10155103	9711438	10174370	9988089	9748708	10262617	10188432	9233916	10338829	9840283	9309792	10411484	9855924	9677098	9339582	9256710	9919719	9013945	10281377	4155341	9427923	9775277	9419390	9652757	9780272	10301608	9478311	9849172	10334901	10022574	9327455	9864792	9805445	10076633	9852609	9688298	10106169	10146401	9343742	10143732	10142233	10006527	9417070	9557452	9783677	10013919	9919203	10061779	10063645	9420483	9321705	10071933	10225651	10187635	8789770	10953325	10172587	8585373	10550190	10098691	9944864	10150591	10080044	10162895	10035582	9563315	10026244	10142862	10088809	10169883	10344470
c354	64400961	61739519	67861320	64438712	59914459	44023394	50828719	51851408	55397394	4924131	64671215	69384700	50200571	53808479	51227054	50973672	44417739	50279733	56478587	49713849	46260880	44101280	63387104	42313731	42188572	49426719	45063641	61306080	46453821	44562750	45571051	51995707	42451208	55556687	53019362	46759454	51706187	46476982	47259322	45822872	46910187	49873668	48743015	54837134	49430289	45136410	47641475	42510426	46901333	47076573	47285864	58898068	55720295	55477501	50528454	43257450	42825649	39551419	50856179	43106910	68542705	67795734	68350447	69796694	66209936	69995041	68818142	68549875	68445673	68733539	69373364	69287502	68897555
c3540	3477781	2083758	3558622	5602913	3535463	1435545	1477265	2002536	1968573	1921320	3646773	4859177	1881178	2813514	2660543	1355273	693150.9	1390920	2639976	1790795	1172660	562341.3	3061939	949586.7	602260.5	1671324	1298692	2477441	1963643	1110766	1350682	2166109	1374555	2228354	1849440	1478277	2343967	2297369	2161535	1328433	1798500	1966351	1519218	2801028	2065849	1646702	1400746	758246.7	1391431	1223220	1966165	2819212	2668318	2674098	1967229	1282471	1751732	833535	2578663	1478099	3400529	3559840	3634889	3130912	3663532	3542165	3642141	3587874	3529329	3361392	3512418	3606141	3444331
c3541	158892.9	150967.8	168981.7	455547.8	168824.2	2327461	2307089	4041226	3782690	2683719	177444.9	172943	130935	127339.6	275946.3	2608156	2156669	640803.5	4080005	4323084	3042574	625959.2	2623861	2435111	3302660	3250483	5902117	937905.3	3063463	2906122	443057.3	849147.8	87017.94	867935.8	534966.6	115600.5	141146.8	122877.9	144114.6	124708.3	251540.1	403154.1	138523.5	711681.9	263920	1535703	1565938	573107.4	1328611	1486590	645618.2	668453.1	445182.3	2041004	600340.9	133500.5	125473.9	411987.3	151097.2	127791.2	1506069	1516188	1500508	1526918	1478369	1555779	1482554	1536189	1515065	1525567	1532471	1480191	1492675
c3543	1357171	381178	1174564	1808304	1767768	1878918	1908305	2673642	3083983	2977114	1175392	1219589	551306.3	380308.2	383820.9	2102956	1919297	1605357	3312083	2709774	1503518	1576266	3120692	2205934	1701114	2789239	3516865	2843730	2071760	2859896	1702626	2087366	2350717	3393627	2436086	287998.3	303128.2	274583.3	306006.1	298500.8	2215410	2395565	1622341	3241859	2427614	2297326	1944452	1437422	2950872	2502332	2428928	3341841	2941640	2363596	2881067	283698.3	306985.7	275831.1	334917.7	304843.8	3041492	3021999	3104595	3040373	3002324	3200734	3109989	2971338	3096086	2804496	3106824	2985051	3028115
c3544	4917438	5423318	9969700	8333407	5897153	5102673	7526112	6759536	7492625	4301991	8748680	5908281	5343251	7978090	4333049	7070985	6648612	3670118	7859148	7516563	4102410	5005045	7520129	4560345	6643268	6951928	6898213	5310709	7432954	6639304	7338090	4688066	6586354	7478431	4741441	9355181	4681965	8794979	9061576	9342422	4039979	7374006	4354086	8524287	4615700	5650696	6501678	6391383	6782093	7673572	8142369	5671549	8411645	4642023	7111174	7703300	4750653	7860368	7306628	4490180	6725848	6624875	6705241	6579794	6490278	7247083	6287957	6248244	6903141	5798427	6800090	6754640	6619744
c3545	4569427	3925666	3840139	4143929	4041503	5133910	4869280	4338476	5036086	5076627	3294499	4084292	4498303	3801431	4102462	5301233	4856548	4770147	4837413	4344742	4532385	4913830	4559112	4495283	3981910	4931620	4610725	6230849	4315572	4569293	4697307	4955900	4387633	5076821	4788330	4951040	5409542	4767262	5453627	4744034	4644936	5356735	5303468	5321993	4839684	4429194	4692870	4416139	4469464	4398082	4158370	5578775	5743464	5222195	4785985	4617601	4776132	4557153	4816908	5441308	6204570	6370106	6112506	6152456	6037503	6388481	6197850	6238363	6230025	6221311	6026871	6336492	6227088
c3547	5690628	5004875	4078585	4958059	4485605	2508989	2669788	3160958	3369717	2515042	5789540	4948879	3832756	4323056	4487107	2523798	2700402	2779579	3834306	2432947	3087219	4542424	2504483	2285667	2883347	2815087	2621316	3430037	2490125	2411688	3423165	2695448	3506780	2680170	2745859	3438264	3924161	3782434	4138078	4232387	3874710	4949478	3566017	2910692	5006259	2714373	3047902	3259976	2643255	3227140	2798046	3522079	3101380	3599145	3992846	3898301	3108022	2684837	2118242	3590075	3855933	3906433	4224338	3820428	3940781	3983586	4181690	3857082	3916360	3801873	3857076	3891217	3372473
