bgc	BGC of	coculture	LFC
Fj_NC_009441.1_rn18	Fjoh	Three-member	0.787996350056981
Fj_NC_009441.1_rn19	Fjoh	Three-member	-0.268853133687023
Fj_NC_009441.1_rn20	Fjoh	Three-member	-0.967172621439575
Fj_NC_009441.1_rn21	Fjoh	Three-member	-1.04547952433287
Fj_NC_009441.1_rn22	Fjoh	Three-member	0.710089620030414
Fj_NC_009441.1_rn23	Fjoh	Three-member	0.0548909805177503
Fj_NC_009441.1_rn24	Fjoh	Three-member	-0.106372033349909
Fj_NC_009441.1_rn25	Fjoh	Three-member	4.0959210241709
Fj_NC_009441.1_rn26	Fjoh	Three-member	0.663153913163483
Fj_NC_009441.1_rn27	Fjoh	Three-member	4.92305756596986
Fj_NC_009441.1_rn28	Fjoh	Three-member	-0.350404214094373
Pk_Ga0417193_01_rn01	Pkor	Pairwise with Bcer	-0.0261957493580135
Pk_Ga0417193_01_rn02	Pkor	Pairwise with Bcer	-0.0306595314057063
Pk_Ga0417193_01_rn03	Pkor	Pairwise with Bcer	-0.218483444309883
Pk_Ga0417193_01_rn04	Pkor	Pairwise with Bcer	0.0395518003056443
Pk_Ga0417193_01_rn05	Pkor	Pairwise with Bcer	-0.297794658060254
Pk_Ga0417193_01_rn06	Pkor	Pairwise with Bcer	0.0572701019246444
Pk_Ga0417193_01_rn07	Pkor	Pairwise with Bcer	-0.216375972645462
Pk_Ga0417193_01_rn08	Pkor	Pairwise with Bcer	-0.0014691145765869
Pk_Ga0417193_01_rn09	Pkor	Pairwise with Bcer	-0.260811751008967
Pk_Ga0417193_01_rn10	Pkor	Pairwise with Bcer	0.373665702144692
Pk_Ga0417193_01_rn11	Pkor	Pairwise with Bcer	0.0288267263091005
Pk_Ga0417193_01_rn12	Pkor	Pairwise with Bcer	0.0014691145765869
Pk_Ga0417193_01_rn13	Pkor	Pairwise with Bcer	0.233825779120042
Pk_Ga0417193_01_rn14	Pkor	Pairwise with Bcer	-0.0550394813390089
Pk_Ga0417193_01_rn15	Pkor	Pairwise with Bcer	0.0163509009241823
Pk_Ga0417193_01_rn16	Pkor	Pairwise with Bcer	0.781480118679341
Pk_Ga0417193_01_rn17	Pkor	Pairwise with Bcer	0.0264276274472833
Pk_Ga0417193_01_rn18	Pkor	Pairwise with Bcer	0.101022046220717
Pk_Ga0417193_01_rn19	Pkor	Pairwise with Bcer	-0.670080980424811
Pk_Ga0417193_01_rn20	Pkor	Pairwise with Bcer	0.0237742398405104
Pk_Ga0417193_01_rn21	Pkor	Pairwise with Bcer	-0.183563106071528
Pk_Ga0417193_01_rn22	Pkor	Pairwise with Bcer	0.0437478001208684
Pk_Ga0417193_01_rn23	Pkor	Pairwise with Bcer	-0.663674642962445
Pk_Ga0417193_01_rn24	Pkor	Pairwise with Bcer	-0.240718365509456
Pk_Ga0417193_01_rn25	Pkor	Pairwise with Bcer	-0.327755690212568
Pk_Ga0417193_01_rn26	Pkor	Pairwise with Bcer	0.0184334543724642
Pk_Ga0417193_01_rn27	Pkor	Pairwise with Bcer	0.362060426546271
Pk_Ga0417193_01_rn28	Pkor	Pairwise with Bcer	-0.123376313547842
Pk_Ga0417193_01_rn01	Pkor	Pairwise with Fjoh	-0.00871157832295594
Pk_Ga0417193_01_rn02	Pkor	Pairwise with Fjoh	0.0105141442660822
Pk_Ga0417193_01_rn03	Pkor	Pairwise with Fjoh	0.0847044359474482
Pk_Ga0417193_01_rn04	Pkor	Pairwise with Fjoh	0.038957037827552
Pk_Ga0417193_01_rn05	Pkor	Pairwise with Fjoh	0.162953805972102
Pk_Ga0417193_01_rn06	Pkor	Pairwise with Fjoh	0.00320013864013252
Pk_Ga0417193_01_rn07	Pkor	Pairwise with Fjoh	0.0883749706514401
Pk_Ga0417193_01_rn08	Pkor	Pairwise with Fjoh	0.0360976765208944
Pk_Ga0417193_01_rn09	Pkor	Pairwise with Fjoh	0.00794262575571788
Pk_Ga0417193_01_rn10	Pkor	Pairwise with Fjoh	-0.0170161981541005
Pk_Ga0417193_01_rn11	Pkor	Pairwise with Fjoh	-0.167079560173358
Pk_Ga0417193_01_rn12	Pkor	Pairwise with Fjoh	-0.0209748740679057
Pk_Ga0417193_01_rn13	Pkor	Pairwise with Fjoh	-0.0605702789765957
Pk_Ga0417193_01_rn14	Pkor	Pairwise with Fjoh	-0.0109422993124928
Pk_Ga0417193_01_rn15	Pkor	Pairwise with Fjoh	0.0170674650756481
Pk_Ga0417193_01_rn16	Pkor	Pairwise with Fjoh	0.0139697496867475
Pk_Ga0417193_01_rn17	Pkor	Pairwise with Fjoh	-0.0233763928051514
Pk_Ga0417193_01_rn18	Pkor	Pairwise with Fjoh	0.0923456988484906
Pk_Ga0417193_01_rn19	Pkor	Pairwise with Fjoh	-0.0244696951707686
Pk_Ga0417193_01_rn20	Pkor	Pairwise with Fjoh	0.0242413734028314
Pk_Ga0417193_01_rn21	Pkor	Pairwise with Fjoh	0.00265222972427352
Pk_Ga0417193_01_rn22	Pkor	Pairwise with Fjoh	-0.299451513434295
Pk_Ga0417193_01_rn23	Pkor	Pairwise with Fjoh	-0.253974894215954
Pk_Ga0417193_01_rn24	Pkor	Pairwise with Fjoh	-0.365479026049811
Pk_Ga0417193_01_rn25	Pkor	Pairwise with Fjoh	-0.0123399374818226
Pk_Ga0417193_01_rn26	Pkor	Pairwise with Fjoh	-0.00803477283767208
Pk_Ga0417193_01_rn27	Pkor	Pairwise with Fjoh	-0.00265222972427352
Pk_Ga0417193_01_rn28	Pkor	Pairwise with Fjoh	0.138457525772069
Pk_Ga0417193_01_rn01	Pkor	Three-member	0.00900901581674831
Pk_Ga0417193_01_rn02	Pkor	Three-member	-0.0317648595558223
Pk_Ga0417193_01_rn03	Pkor	Three-member	-0.129761452664989
Pk_Ga0417193_01_rn04	Pkor	Three-member	0.068865533878028
Pk_Ga0417193_01_rn05	Pkor	Three-member	-0.144664180554012
Pk_Ga0417193_01_rn06	Pkor	Three-member	0.0439436724951135
Pk_Ga0417193_01_rn07	Pkor	Three-member	-0.144171286858345
Pk_Ga0417193_01_rn08	Pkor	Three-member	0.0318607154862975
Pk_Ga0417193_01_rn09	Pkor	Three-member	-0.111201342660596
Pk_Ga0417193_01_rn10	Pkor	Three-member	0.380868592419603
Pk_Ga0417193_01_rn11	Pkor	Three-member	-0.214737502183135
Pk_Ga0417193_01_rn12	Pkor	Three-member	-0.0243757060122542
Pk_Ga0417193_01_rn13	Pkor	Three-member	0.168955944329055
Pk_Ga0417193_01_rn14	Pkor	Three-member	-0.0090090158167483
Pk_Ga0417193_01_rn15	Pkor	Three-member	0.0649989064309153
Pk_Ga0417193_01_rn16	Pkor	Three-member	0.600088556991276
Pk_Ga0417193_01_rn17	Pkor	Three-member	0.0541841539526754
Pk_Ga0417193_01_rn18	Pkor	Three-member	0.166696580996676
Pk_Ga0417193_01_rn19	Pkor	Three-member	-0.56817131967788
Pk_Ga0417193_01_rn20	Pkor	Three-member	0.0917846235917341
Pk_Ga0417193_01_rn21	Pkor	Three-member	-0.0764776368945256
Pk_Ga0417193_01_rn22	Pkor	Three-member	0.0518161088582417
Pk_Ga0417193_01_rn23	Pkor	Three-member	-0.702960353626031
Pk_Ga0417193_01_rn24	Pkor	Three-member	-0.51376258108082
Pk_Ga0417193_01_rn25	Pkor	Three-member	-0.215390570402189
Pk_Ga0417193_01_rn26	Pkor	Three-member	0.0409338588035072
Pk_Ga0417193_01_rn27	Pkor	Three-member	0.387450716421726
Pk_Ga0417193_01_rn28	Pkor	Three-member	-0.0480211048140277
