bgc	BGC of	coculture	LFC
Fj_NC_009441.1_rn01	Fjoh	Pairwise with Bcer	0.33587096
Fj_NC_009441.1_rn02	Fjoh	Pairwise with Bcer	0.291332374
Fj_NC_009441.1_rn03	Fjoh	Pairwise with Bcer	-0.161358569
Fj_NC_009441.1_rn04	Fjoh	Pairwise with Bcer	-0.255111738
Fj_NC_009441.1_rn05	Fjoh	Pairwise with Bcer	0.21479874
Fj_NC_009441.1_rn06	Fjoh	Pairwise with Bcer	0.071863704
Fj_NC_009441.1_rn07	Fjoh	Pairwise with Bcer	-0.306209949
Fj_NC_009441.1_rn08	Fjoh	Pairwise with Bcer	0.83491672
Fj_NC_009441.1_rn09	Fjoh	Pairwise with Bcer	-0.652638847
Fj_NC_009441.1_rn10	Fjoh	Pairwise with Bcer	1.851171521
Fj_NC_009441.1_rn11	Fjoh	Pairwise with Bcer	-0.343877128
Fj_NC_009441.1_rn12	Fjoh	Pairwise with Bcer	-0.742728345
Fj_NC_009441.1_rn13	Fjoh	Pairwise with Bcer	0.350309002
Fj_NC_009441.1_rn14	Fjoh	Pairwise with Bcer	2.207480584
Fj_NC_009441.1_rn15	Fjoh	Pairwise with Bcer	-1.908860079
Fj_NC_009441.1_rn16	Fjoh	Pairwise with Bcer	0.860728645
Fj_NC_009441.1_rn17	Fjoh	Pairwise with Bcer	0.361097782
Fj_NC_009441.1_rn18	Fjoh	Pairwise with Bcer	-0.069831601
Fj_NC_009441.1_rn19	Fjoh	Pairwise with Bcer	0.069831601
Fj_NC_009441.1_rn20	Fjoh	Pairwise with Bcer	-0.285649912
Fj_NC_009441.1_rn21	Fjoh	Pairwise with Bcer	-0.340671653
Fj_NC_009441.1_rn22	Fjoh	Pairwise with Bcer	0.321215612
Fj_NC_009441.1_rn23	Fjoh	Pairwise with Bcer	0.138079333
Fj_NC_009441.1_rn24	Fjoh	Pairwise with Bcer	-0.676821337
Fj_NC_009441.1_rn25	Fjoh	Pairwise with Bcer	-1.103944256
Fj_NC_009441.1_rn26	Fjoh	Pairwise with Bcer	0.283315583
Fj_NC_009441.1_rn27	Fjoh	Pairwise with Bcer	-0.22933177
Fj_NC_009441.1_rn28	Fjoh	Pairwise with Bcer	-0.381144634
Fj_NC_009441.1_rn01	Fjoh	Pairwise with Pkor	0.385193957
Fj_NC_009441.1_rn02	Fjoh	Pairwise with Pkor	0.266750964
Fj_NC_009441.1_rn03	Fjoh	Pairwise with Pkor	-0.042479733
Fj_NC_009441.1_rn04	Fjoh	Pairwise with Pkor	-1.058309144
Fj_NC_009441.1_rn05	Fjoh	Pairwise with Pkor	-0.322928314
Fj_NC_009441.1_rn06	Fjoh	Pairwise with Pkor	-0.184138856
Fj_NC_009441.1_rn07	Fjoh	Pairwise with Pkor	-1.00833628
Fj_NC_009441.1_rn08	Fjoh	Pairwise with Pkor	0.300641458
Fj_NC_009441.1_rn09	Fjoh	Pairwise with Pkor	-2.363058322
Fj_NC_009441.1_rn10	Fjoh	Pairwise with Pkor	0.323849683
Fj_NC_009441.1_rn11	Fjoh	Pairwise with Pkor	-0.726627965
Fj_NC_009441.1_rn12	Fjoh	Pairwise with Pkor	-0.750155817
Fj_NC_009441.1_rn13	Fjoh	Pairwise with Pkor	-0.085013533
Fj_NC_009441.1_rn14	Fjoh	Pairwise with Pkor	0.103095993
Fj_NC_009441.1_rn15	Fjoh	Pairwise with Pkor	1.901960988
Fj_NC_009441.1_rn16	Fjoh	Pairwise with Pkor	0.635590188
Fj_NC_009441.1_rn17	Fjoh	Pairwise with Pkor	0.02380964
